Gene,Annotation,Presence_pattern,Functional_category,M5_locus,M6_locus,M8_locus,I6_locus,In_novel_region
group_5700,phage tail protein;Phage Tail Collar domain protein,core,phage,NKFIDM_03302,KMIGAE_03302,ILIHOP_03302,cds-WP_155619388.1,no
group_5699,spore germination protein;Spore germination protein,core,sporulation,NKFIDM_06494,KMIGAE_06494,ILIHOP_06494,cds-WP_036618571.1,no
group_5698,immunoglobulin-like domain-containing protein;DUF5011 domain-containing protein,core,hypothetical_DUF,NKFIDM_03301,KMIGAE_03301,ILIHOP_03301,cds-WP_240751782.1,no
group_5697,carbohydrate ABC transporter permease;ABC transporter permease subunit,core,transport,NKFIDM_02482,KMIGAE_02482,ILIHOP_02482,cds-WP_240751601.1,no
group_5696,DUF350 domain-containing protein,core,hypothetical_DUF,NKFIDM_06300,KMIGAE_06300,ILIHOP_06300,cds-WP_036618932.1,no
group_5695,RNA 2'-phosphotransferase;putative RNA 2'-phosphotransferase,core,metabolism_enzyme,NKFIDM_00439,KMIGAE_00439,ILIHOP_00439,cds-WP_155619799.1,yes
group_5694,DUF6809 family protein;DUF6809 domain-containing protein,core,hypothetical_DUF,NKFIDM_00228,KMIGAE_00228,ILIHOP_00228,cds-WP_124333546.1,no
group_5693,5'-3' exonuclease,core,other,NKFIDM_01802,KMIGAE_01802,ILIHOP_01802,cds-WP_155621204.1,no
group_5692,DUF6809 family protein;DUF6809 domain-containing protein,core,hypothetical_DUF,NKFIDM_00364,KMIGAE_00364,ILIHOP_00364,cds-WP_240752295.1,no
group_5691,aldo/keto reductase;Aldo/keto reductase family protein,core,metabolism_enzyme,NKFIDM_02910,KMIGAE_02910,ILIHOP_02910,cds-WP_240752595.1,no
vanX,D-Ala-D-Ala dipeptidase VanX,core,metabolism_enzyme,NKFIDM_03238,KMIGAE_03238,ILIHOP_03238,cds-WP_036622933.1,yes
rfbC,dTDP-4-dehydrorhamnose 35-epimerase,core,metabolism_enzyme,NKFIDM_05815,KMIGAE_05815,ILIHOP_05815,cds-WP_240752106.1,yes
group_5690,hypothetical protein;Spore germination gerPA/gerPF family protein,core,sporulation,NKFIDM_06495,KMIGAE_06495,ILIHOP_06495,cds-WP_036618569.1,no
group_5689,serine hydrolase;SLH domain-containing protein,core,metabolism_enzyme,NKFIDM_03300,KMIGAE_03300,ILIHOP_03300,cds-WP_155619386.1,no
group_5688,polysaccharide deacetylase family protein;Glycosyl hydrolase 57 family protein,core,metabolism_enzyme,NKFIDM_06230,KMIGAE_06230,ILIHOP_06230,cds-WP_036619054.1,no
yvmB,MarR family transcriptional regulator;HTH-type transcriptional regulator YvmB,core,regulatory,NKFIDM_04936,KMIGAE_04936,ILIHOP_04936,cds-WP_413773886.1,no
group_5687,carbohydrate ABC transporter permease;ABC transporter permease subunit,core,transport,NKFIDM_02481,KMIGAE_02481,ILIHOP_02481,cds-WP_240752593.1,no
group_5686,MurR/RpiR family transcriptional regulator;SIS domain protein,core,regulatory,NKFIDM_02197,KMIGAE_02197,ILIHOP_02197,cds-WP_240751508.1,no
group_5685,hypothetical protein;Signal peptide protein,core,hypothetical_DUF,NKFIDM_06301,KMIGAE_06301,ILIHOP_06301,cds-WP_036618930.1,no
group_5684,YcdB/YcdC domain-containing protein;YcdB/YcdC repeated domain-containing protein,core,other,NKFIDM_01247,KMIGAE_01247,ILIHOP_01247,cds-WP_240752422.1,no
group_5683,helix-turn-helix transcriptional regulator;Helix-turn-helix domain protein,core,regulatory,NKFIDM_02909,KMIGAE_02909,ILIHOP_02909,cds-WP_240751703.1,no
group_5682,ABC transporter ATP-binding protein;ATP-binding cassette domain-containing protein,core,transport,NKFIDM_03233,KMIGAE_03233,ILIHOP_03233,cds-WP_155620084.1,no
group_5681,RrF2 family transcriptional regulator;Rrf2 family transcriptional regulator,core,regulatory,NKFIDM_00438,KMIGAE_00438,ILIHOP_00438,cds-WP_155619764.1,no
group_5680,class I SAM-dependent methyltransferase;Small RNA 2'-O-methyltransferase,core,metabolism_enzyme,NKFIDM_00434,KMIGAE_00434,ILIHOP_00434,cds-WP_155619760.1,no
group_5679,SDR family NAD(P)-dependent oxidoreductase;Short chain dehydrogenase family protein,core,metabolism_enzyme,NKFIDM_02072,KMIGAE_02072,ILIHOP_02072,cds-WP_155621052.1,no
kdpD,histidine kinase dimerization/phospho-acceptor domain-containing protein;sensor histidine kinase;sensor histidine kinase KdpD,core,metabolism_enzyme,NKFIDM_03055;NKFIDM_03054,KMIGAE_03054;KMIGAE_03055,ILIHOP_03054;ILIHOP_03055,cds-WP_124332173.1,no
group_5678,ribbon-helix-helix protein CopG family;Ribbon-helix-helix protein CopG family,core,other,NKFIDM_00229,KMIGAE_00229,ILIHOP_00229,cds-WP_124333547.1,no
group_5677,hypothetical protein,core,hypothetical_DUF,NKFIDM_00227,KMIGAE_00227,ILIHOP_00227,cds-WP_124333545.1,no
group_5676,arsenate reductase family protein;Transcriptional regulator Spx/MgsR family protein,core,regulatory,NKFIDM_01801,KMIGAE_01801,ILIHOP_01801,cds-WP_155621203.1,no
group_5675,hypothetical protein,core,hypothetical_DUF,NKFIDM_03062,KMIGAE_03062,ILIHOP_03062,cds-WP_155620635.1,no
group_5674,helix-turn-helix transcriptional regulator;WYL domain protein,core,regulatory,NKFIDM_02112,KMIGAE_02112,ILIHOP_02112,cds-WP_240752563.1,no
group_5673,copper amine oxidase N-terminal domain-containing protein;Copper amine oxidase-like N-terminal domain-containing protein,core,other,NKFIDM_06435,KMIGAE_06435,ILIHOP_06435,cds-WP_240752214.1,no
group_5672,hypothetical protein,core,hypothetical_DUF,NKFIDM_03530,KMIGAE_03530,ILIHOP_03530,cds-WP_124331992.1,no
group_5671,AraC family transcriptional regulator;Cupin domain protein,core,regulatory,NKFIDM_03254,KMIGAE_03254,ILIHOP_03254,cds-WP_155620051.1,no
tenI,thiamine phosphate synthase;Regulatory protein tenI,core,metabolism_enzyme,NKFIDM_04473,KMIGAE_04473,ILIHOP_04473,cds-WP_240751897.1,no
group_5670,hypothetical protein;DUF4239 domain-containing protein,core,hypothetical_DUF,NKFIDM_00708,KMIGAE_00708,ILIHOP_00708,cds-WP_036626477.1,no
group_5669,ABC transporter permease;ABC-2 transporter family protein,core,transport,NKFIDM_00365,KMIGAE_00365,ILIHOP_00365,cds-WP_240752296.1,no
group_5668,O-antigen ligase family protein;O-Antigen ligase family protein,core,metabolism_enzyme,NKFIDM_05833,KMIGAE_05833,ILIHOP_05833,cds-WP_240752115.1,no
group_5667,DUF3055 domain-containing protein,core,hypothetical_DUF,NKFIDM_01805,KMIGAE_01805,ILIHOP_01805,cds-WP_155621206.1,no
group_5666,FecCD family ABC transporter permease;FecCD transport family protein,core,transport,NKFIDM_04893,KMIGAE_04893,ILIHOP_04893,cds-WP_155621443.1,no
group_5665,PilZ domain-containing protein,core,other,NKFIDM_05066,KMIGAE_05066,ILIHOP_05066,cds-WP_155621557.1,no
group_5664,ankyrin repeat domain-containing protein;Ankyrin repeat family protein,core,other,NKFIDM_02911,KMIGAE_02911,ILIHOP_02911,cds-WP_240751704.1,no
group_5663,hypothetical protein,core,hypothetical_DUF,NKFIDM_02106,KMIGAE_02106,ILIHOP_02106,cds-WP_230877246.1,no
vanA,D-alanine--(R)-lactate ligase,core,metabolism_enzyme,NKFIDM_03239,KMIGAE_03239,ILIHOP_03239,cds-WP_155620083.1,no
group_5662,ABC transporter ATP-binding protein;ABC transporter family protein,core,transport,NKFIDM_06191,KMIGAE_06191,ILIHOP_06191,cds-WP_036619092.1,no
rfbB,dTDP-glucose 46-dehydratase,core,other,NKFIDM_05814,KMIGAE_05814,ILIHOP_05814,cds-WP_240752105.1,no
group_5661,hypothetical protein;Putative spore coat F-like protein YraG,core,sporulation,NKFIDM_06496,KMIGAE_06496,ILIHOP_06496,cds-WP_036618566.1,no
group_5660,EFR1 family ferrodoxin;4Fe-4S binding domain protein,core,other,NKFIDM_02073,KMIGAE_02073,ILIHOP_02073,cds-WP_240752556.1,no
group_5659,TatD family hydrolase;YchF/TatD family DNA exonuclease,core,metabolism_enzyme,NKFIDM_00441,KMIGAE_00441,ILIHOP_00441,cds-WP_155619765.1,yes
group_5658,response regulator transcription factor;Response regulator,core,other,NKFIDM_03299,KMIGAE_03299,ILIHOP_03299,cds-WP_240752601.1,no
group_5657,Ger(x)C family spore germination protein;Ger(X)C family spore germination protein,core,sporulation,NKFIDM_03602,KMIGAE_03602,ILIHOP_03602,cds-WP_124331983.1,no
group_5656,nucleotidyltransferase domain-containing protein;Putative nucleotidyltransferase family protein,core,metabolism_enzyme,NKFIDM_00433,KMIGAE_00433,ILIHOP_00433,cds-WP_155619759.1,no
group_5655,glycerophosphodiester phosphodiesterase family protein;Glycerophosphoryl diester phosphodiesterase,core,metabolism_enzyme,NKFIDM_01727,KMIGAE_01727,ILIHOP_01727,cds-WP_155620516.1,no
group_5654,hypothetical protein;endo-14-beta-xylanase;Beta-xylanase,core,hypothetical_DUF,NKFIDM_06231,KMIGAE_06231,ILIHOP_06231,cds-WP_326044744.1;cds-LMZ02_RS03110,no
group_5653,Fe-S cluster assembly ATPase SufC,core,other,NKFIDM_04935,KMIGAE_04935,ILIHOP_04935,cds-WP_155621452.1,no
group_5652,hypothetical protein,core,hypothetical_DUF,NKFIDM_04652,KMIGAE_04652,ILIHOP_04652,cds-WP_240751920.1,no
group_5651,glycoside hydrolase family 3 protein;beta-N-acetylhexosaminidase,core,metabolism_enzyme,NKFIDM_02398,KMIGAE_02398,ILIHOP_02398,cds-WP_240751578.1,no
group_5650,VOC family protein;Glyoxalase/Bleomycin resistance /Dioxygenase superfamily protein,core,other,NKFIDM_01726,KMIGAE_01726,ILIHOP_01726,cds-WP_155620515.1,no
cueP,CueP family metal-binding protein,core,other,NKFIDM_01955,KMIGAE_01955,ILIHOP_01955,cds-WP_240752532.1,no
group_5649,hypothetical protein;glycosyl hydrolase;Glycoside hydrolase,core,metabolism_enzyme,NKFIDM_01264,KMIGAE_01264,ILIHOP_01264,cds-WP_155620025.1;cds-WP_155620026.1,no
group_5648,ABC transporter substrate-binding protein;Lactose-binding protein,core,transport,NKFIDM_02480,KMIGAE_02480,ILIHOP_02480,cds-WP_240751600.1,no
group_5647,PTS transporter subunit EIIC;PTS system glucose-like IIB component domain protein,core,transport,NKFIDM_02198,KMIGAE_02198,ILIHOP_02198,cds-WP_240751511.1,no
group_5646,glutathionylspermidine synthase family protein;Glutathionylspermidine synthase,core,metabolism_enzyme,NKFIDM_06302,KMIGAE_06302,ILIHOP_06302,cds-WP_051985812.1,no
group_5645,NAD(P)H-hydrate dehydratase;Multifunctional fusion protein,core,other,NKFIDM_00714,KMIGAE_00714,ILIHOP_00714,cds-WP_240752344.1,no
group_5644,hypothetical protein,core,hypothetical_DUF,NKFIDM_06536,KMIGAE_06536,ILIHOP_06536,cds-WP_240752237.1;cds-WP_240752236.1,no
group_5643,stalk domain-containing protein;Copper amine oxidase N-terminal domain-containing protein,core,other,NKFIDM_01975,KMIGAE_01975,ILIHOP_01975,cds-WP_240752549.1,no
group_5642,glycosyltransferase family 2 protein;Glycosyl transferase 2 family protein,core,metabolism_enzyme,NKFIDM_06507,KMIGAE_06507,ILIHOP_06507,cds-WP_240752230.1,no
group_5641,DUF4062 domain-containing protein;VOC family protein,core,hypothetical_DUF,NKFIDM_06575,KMIGAE_06575,ILIHOP_06575,cds-WP_230876952.1;cds-LMZ02_RS04785,no
group_5640,DUF3829 domain-containing protein,core,hypothetical_DUF,NKFIDM_05376,KMIGAE_05376,ILIHOP_05376,cds-WP_036619913.1;cds-WP_036619916.1,no
group_5639,Response regulator;response regulator transcription factor;DNA-binding response regulator,core,regulatory,NKFIDM_01894;NKFIDM_01893,KMIGAE_01894;KMIGAE_01893,ILIHOP_01894;ILIHOP_01893,cds-WP_124331664.1,no
group_5638,sigma-70 family RNA polymerase sigma factor;RNA polymerase sigma factor sigma-70 family protein,core,regulatory,NKFIDM_00980,KMIGAE_00980,ILIHOP_00980,cds-WP_036626109.1,no
group_5637,TerB N-terminal domain-containing protein;tellurite resistance TerB C-terminal domain-containing protein;TerB-C domain-containing protein,core,other,NKFIDM_03400,KMIGAE_03400,ILIHOP_03400,cds-WP_240751798.1;cds-WP_240751799.1,no
group_5636,CobW family GTP-binding protein;CobW C-terminal domain-containing protein,core,other,NKFIDM_01708,KMIGAE_01708,ILIHOP_01708,cds-WP_196427527.1,no
group_5635,hypothetical protein;helix-turn-helix domain-containing protein;Helix-turn-helix domain protein,core,hypothetical_DUF,NKFIDM_02285,KMIGAE_02285,ILIHOP_02285,cds-WP_230877093.1;cds-WP_155620197.1,no
group_5634,helix-turn-helix domain-containing protein;Helix-turn-helix conjugative transposon-like domain-containing protein,core,other,NKFIDM_02102,KMIGAE_02102,ILIHOP_02102,cds-WP_155621159.1,no
group_5633,cellobiose phosphorylase;Cellobiose phosphorylase,core,other,NKFIDM_02379,KMIGAE_02379,ILIHOP_02379,cds-WP_124331506.1,no
group_5632,hypothetical protein;Photosynthesis system II assembly factor Ycf48/Hcf136-like domain-containing protein,core,hypothetical_DUF,NKFIDM_03173,KMIGAE_03173,ILIHOP_03173,cds-WP_155620124.1,no
group_5631,MATE family efflux transporter;putative multidrug resistance protein NorM,core,drug_efflux,NKFIDM_02099,KMIGAE_02099,ILIHOP_02099,cds-WP_230877248.1,yes
group_5630,S-layer homology domain-containing protein;S-layer-like y domain-containing protein,core,other,NKFIDM_05852,KMIGAE_05852,ILIHOP_05852,cds-WP_240752122.1,no
group_5629,hypothetical protein,core,hypothetical_DUF,NKFIDM_05273,KMIGAE_05273,ILIHOP_05273,cds-WP_036620075.1,no
group_5628,MFS transporter;Sugar (And other) transporter family protein,core,transport,NKFIDM_01248,KMIGAE_01248,ILIHOP_01248,cds-WP_240752423.1,no
group_5627,SDR family oxidoreductase;3-oxoacyl-[acyl-carrier protein] reductase,core,metabolism_enzyme,NKFIDM_05280,KMIGAE_05280,ILIHOP_05280,cds-WP_036620064.1,no
group_5626,YuzB family protein;DUF1450 domain-containing protein,core,hypothetical_DUF,NKFIDM_05278,KMIGAE_05278,ILIHOP_05278,cds-WP_036620069.1,no
group_5625,hypothetical protein;Glycosyl hydrolase 36 catalytic domain-containing protein,core,metabolism_enzyme,NKFIDM_02908,KMIGAE_02908,ILIHOP_02908,cds-WP_240751702.1,no
group_5624,N-acetylmuramoyl-L-alanine amidase family protein;N-acetylmuramoyl-L-alanine amidase,core,other,NKFIDM_04638,KMIGAE_04638,ILIHOP_04638,cds-WP_240751916.1,no
group_5623,SRPBCC family protein;Activator of Hsp90 ATPase-like ue 1/2-like C-terminal domain-containing protein,core,other,NKFIDM_05842,KMIGAE_05842,ILIHOP_05842,cds-WP_051985232.1,no
group_5622,DUF1048 domain-containing protein;hypothetical protein,core,hypothetical_DUF,NKFIDM_03234,KMIGAE_03234,ILIHOP_03234,cds-WP_036622935.1,no
group_5621,NADP-dependent oxidoreductase;Alcohol dehydrogenase GroES-like domain protein,core,metabolism_enzyme,NKFIDM_02924,KMIGAE_02924,ILIHOP_02924,cds-WP_218032574.1,no
ctaG,cytochrome c oxidase assembly factor CtaG,core,other,NKFIDM_00877,KMIGAE_00877,ILIHOP_00877,cds-WP_082207938.1,no
group_5620,DinB family protein;DUF664 domain-containing protein,core,hypothetical_DUF,NKFIDM_01399,KMIGAE_01399,ILIHOP_01399,cds-WP_036625539.1,no
group_5619,hypothetical protein;Beta/Gamma crystallin family protein,core,hypothetical_DUF,NKFIDM_01954,KMIGAE_01954,ILIHOP_01954,cds-WP_240752531.1,no
group_5618,Na+/H+ antiporter subunit G,core,transport,NKFIDM_00392,KMIGAE_00392,ILIHOP_00392,cds-WP_413773841.1,no
group_5617,ABC transporter substrate-binding protein;Carbohydrate ABC transporter substrate-binding protein,core,transport,NKFIDM_04781,KMIGAE_04781,ILIHOP_04781,cds-WP_127463438.1,no
group_5616,nitroreductase family protein;Nitroreductase,core,metabolism_enzyme,NKFIDM_00437,KMIGAE_00437,ILIHOP_00437,cds-WP_155619763.1,no
group_5615,metallophosphoesterase;Calcineurin-like phosphoesterase family protein,core,metabolism_enzyme,NKFIDM_00435,KMIGAE_00435,ILIHOP_00435,cds-WP_155619761.1,no
group_5614,TetR/AcrR family transcriptional regulator;Bacterial regulatory s tetR family protein,core,regulatory,NKFIDM_02071,KMIGAE_02071,ILIHOP_02071,cds-WP_196427575.1,no
group_5613,acetylxylan esterase;Dienelactone hydrolase family protein,core,metabolism_enzyme,NKFIDM_02069,KMIGAE_02069,ILIHOP_02069,cds-WP_155621054.1,no
group_5612,flagellin,core,cell_envelope_motility,NKFIDM_05935,KMIGAE_05935,ILIHOP_05935,cds-WP_036619311.1,no
group_5611,hypothetical protein;Aminotransferase class I/classII domain-containing protein,core,metabolism_enzyme,NKFIDM_01841,KMIGAE_01841,ILIHOP_01841,cds-WP_240752513.1,no
group_5610,ankyrin repeat domain-containing protein;Ankyrin repeat family protein,core,other,NKFIDM_00230,KMIGAE_00230,ILIHOP_00230,cds-WP_124333548.1,no
group_5609,hypothetical protein;YgiT-type zinc finger domain protein,core,sporulation,NKFIDM_01793,KMIGAE_01793,ILIHOP_01793,cds-WP_155621197.1,no
group_5608,helicase-related protein;DNA/RNA helicase,core,other,NKFIDM_05949,KMIGAE_05949,ILIHOP_05949,cds-WP_240752146.1,no
comF,ComF family protein,core,other,NKFIDM_05948,KMIGAE_05948,ILIHOP_05948,cds-WP_240752145.1,no
group_5607,Dabb family protein;Stress responsive A/B Barrel domain protein,core,other,NKFIDM_02047,KMIGAE_02047,ILIHOP_02047,cds-WP_124331624.1,no
group_5606,MFS transporter;Transporter major facilitator family domain protein,core,transport,NKFIDM_05683,KMIGAE_05683,ILIHOP_05683,cds-LMZ02_RS00905_pseudo,no
group_5605,Transposase;transposase;Transposase zinc-ribbon domain-containing protein,core,IS_transposase,NKFIDM_03192;NKFIDM_03191,KMIGAE_03192;KMIGAE_03191,ILIHOP_03191;ILIHOP_03192,cds-WP_155620116.1,no
group_5604,Hsp20/alpha crystallin family protein,core,other,NKFIDM_03213,KMIGAE_03213,ILIHOP_03213,cds-WP_240751762.1,no
group_5603,Imm3 family immunity protein;Immunity Imm3 family protein,core,other,NKFIDM_00226,KMIGAE_00226,ILIHOP_00226,cds-WP_213510849.1,no
group_5602,SDR family oxidoreductase;Short chain dehydrogenase family protein,core,metabolism_enzyme,NKFIDM_05588,KMIGAE_05588,ILIHOP_05588,cds-WP_240752082.1,no
group_5601,hypothetical protein;ABC transporter permease,core,transport,NKFIDM_00880,KMIGAE_00880,ILIHOP_00880,cds-WP_036626303.1,no
yobV,helix-turn-helix transcriptional regulator;HTH deoR-type domain-containing protein,core,regulatory,NKFIDM_03245,KMIGAE_03245,ILIHOP_03245,cds-WP_155620055.1,no
group_5600,phage tail protein;Phage tail protein,core,phage,NKFIDM_03243,KMIGAE_03243,ILIHOP_03243,cds-WP_155620056.1,no
group_5599,contractile injection system protein VgrG/Pvc8 family;Phage late control D family protein,core,phage,NKFIDM_05396,KMIGAE_05396,ILIHOP_05397,cds-WP_124333188.1,no
group_5598,DHHW family protein,core,other,NKFIDM_03140,KMIGAE_03140,ILIHOP_03140,cds-WP_155620142.1,no
group_5597,DUF4280 domain-containing protein,core,hypothetical_DUF,NKFIDM_05397,KMIGAE_05397,ILIHOP_05398,cds-WP_240752060.1,no
group_5596,toxin C-terminal domain-containing protein;hypothetical protein;RHS repeat-associated core domain protein,core,toxin_antitoxin,NKFIDM_01845,KMIGAE_01845,ILIHOP_01845,cds-WP_240752514.1;cds-WP_170179969.1,no
group_5595,AraC family ligand binding domain-containing protein;aldo/keto reductase;L-glyceraldehyde 3-phosphate reductase,core,regulatory,NKFIDM_03445,KMIGAE_03445,ILIHOP_03445,cds-WP_036628095.1;cds-LMZ02_RS31700,no
group_5594,alpha/beta-type small acid-soluble spore protein;Small acid-soluble spore protein C,core,sporulation,NKFIDM_02028,KMIGAE_02028,ILIHOP_02028,cds-WP_155621072.1,no
group_5593,RluA family pseudouridine synthase;Pseudouridine synthase,core,metabolism_enzyme,NKFIDM_01800,KMIGAE_01800,ILIHOP_01800,cds-WP_155621202.1,no
group_5592,aspartyl-phosphate phosphatase Spo0E family protein;Spo0E like sporulation regulatory family protein,core,sporulation,NKFIDM_01798,KMIGAE_01798,ILIHOP_01798,cds-WP_196427588.1,no
group_5591,FAD:protein FMN transferase,core,metabolism_enzyme,NKFIDM_03061,KMIGAE_03061,ILIHOP_03061,cds-WP_240751738.1,no
