# Genes present in M5/M6/M8 but ABSENT from I6
# Total: 736 (736 in all 3 isolates, 0 partial)

Group	Annotation	M5	M6	M8	In_all_3
group_4827	hypothetical protein	NKFIDM_04987	KMIGAE_04987	ILIHOP_04987	True
group_4825	hypothetical protein	NKFIDM_03321	KMIGAE_03321	ILIHOP_03321	True
group_4821	Putative transcriptional regulator	NKFIDM_02166	KMIGAE_02166	ILIHOP_02166	True
group_4811	Pseudouridine synthase	NKFIDM_06431	KMIGAE_06431	ILIHOP_06431	True
group_4810	hypothetical protein	NKFIDM_06077	KMIGAE_06077	ILIHOP_06077	True
xkdX	XkdX family protein	NKFIDM_06043	KMIGAE_06043	ILIHOP_06043	True
group_4806	class I SAM-dependent methyltransferase	NKFIDM_04981	KMIGAE_04981	ILIHOP_04981	True
group_4805	hypothetical protein	NKFIDM_04939	KMIGAE_04939	ILIHOP_04939	True
group_4802	hypothetical protein	NKFIDM_01338	KMIGAE_01338	ILIHOP_01338	True
group_4801	Conjugal transfer protein	NKFIDM_01200	KMIGAE_01200	ILIHOP_01200	True
rpmG	50S ribosomal protein L33	NKFIDM_02173	KMIGAE_02173	ILIHOP_02173	True
group_4797	hypothetical protein	NKFIDM_01724	KMIGAE_01724	ILIHOP_01724	True
group_4796	Enoyl-CoA hydratase/isomerase domain protein	NKFIDM_01204	KMIGAE_01204	ILIHOP_01204	True
group_4794	hypothetical protein	NKFIDM_05972	KMIGAE_05972	ILIHOP_05972	True
group_4783	DUF2179 domain-containing protein	NKFIDM_00320	KMIGAE_00320	ILIHOP_00320	True
group_4780	hypothetical protein	NKFIDM_04680	KMIGAE_04680	ILIHOP_04680	True
group_4773	hypothetical protein	NKFIDM_06030	KMIGAE_06030	ILIHOP_06030	True
group_4764	hypothetical protein	NKFIDM_06108	KMIGAE_06108	ILIHOP_06108	True
group_4763	hypothetical protein	NKFIDM_06088	KMIGAE_06088	ILIHOP_06088	True
group_4760	Pyridine nucleotide-disulfide oxidoreductase family protein	NKFIDM_02179	KMIGAE_02179	ILIHOP_02179	True
group_4756	hypothetical protein	NKFIDM_06114	KMIGAE_06114	ILIHOP_06114	True
group_4749	Putative membrane protein	NKFIDM_06181	KMIGAE_06181	ILIHOP_06181	True
group_4744	hypothetical protein	NKFIDM_00582	KMIGAE_00582	ILIHOP_00582	True
group_4739	hypothetical protein	NKFIDM_04733	KMIGAE_04733	ILIHOP_04733	True
group_4738	hypothetical protein	NKFIDM_04706	KMIGAE_04706	ILIHOP_04706	True
group_4736	hypothetical protein	NKFIDM_03277	KMIGAE_03277	ILIHOP_03277	True
group_4734	hypothetical protein	NKFIDM_02501	KMIGAE_02501	ILIHOP_02501	True
group_4732	hypothetical protein	NKFIDM_01536	KMIGAE_01536	ILIHOP_01536	True
group_4730	hypothetical protein	NKFIDM_06605	KMIGAE_06605	ILIHOP_06605	True
group_4729	hypothetical protein	NKFIDM_06094	KMIGAE_06094	ILIHOP_06094	True
group_4728	hypothetical protein	NKFIDM_06084	KMIGAE_06084	ILIHOP_06084	True
group_4725	hypothetical protein	NKFIDM_03554	KMIGAE_03554	ILIHOP_03554	True
group_4721	WYL domain-containing protein	NKFIDM_01159	KMIGAE_01159	ILIHOP_01159	True
group_4720	hypothetical protein	NKFIDM_00565	KMIGAE_00565	ILIHOP_00565	True
group_4716	hypothetical protein	NKFIDM_06606	KMIGAE_06606	ILIHOP_06606	True
group_4715	CopG family transcriptional regulator	NKFIDM_06096	KMIGAE_06096	ILIHOP_06096	True
group_4713	PepSY domain-containing protein	NKFIDM_04731	KMIGAE_04731	ILIHOP_04731	True
group_4712	DUF951 domain-containing protein	NKFIDM_04729	KMIGAE_04729	ILIHOP_04729	True
group_4706	hypothetical protein	NKFIDM_04985	KMIGAE_04985	ILIHOP_04985	True
group_4700	DUF4316 domain-containing protein	NKFIDM_02513	KMIGAE_02513	ILIHOP_02513	True
group_4691	Spo0E like sporulation regulatory family protein	NKFIDM_01148	KMIGAE_01148	ILIHOP_01148	True
group_4683	Conjugal transfer protein	NKFIDM_02506	KMIGAE_02506	ILIHOP_02506	True
group_4681	hypothetical protein	NKFIDM_02104	KMIGAE_02104	ILIHOP_02104	True
group_4670	hypothetical protein	NKFIDM_04984	KMIGAE_04984	ILIHOP_04984	True
group_4667	Transposase	NKFIDM_01143	KMIGAE_01143	ILIHOP_01143	True
group_4665	hypothetical protein	NKFIDM_00282	KMIGAE_00282	ILIHOP_00282	True
group_4661	DUF4190 domain-containing protein	NKFIDM_06599	KMIGAE_06599	ILIHOP_06599	True
group_4658	hypothetical protein	NKFIDM_06049	KMIGAE_06049	ILIHOP_06049	True
tnpW	transposon-encoded TnpW family protein	NKFIDM_01128	KMIGAE_01128	ILIHOP_01128	True
group_4649	hypothetical protein	NKFIDM_06107	KMIGAE_06107	ILIHOP_06107	True
group_4648	HTH cro/C1-type domain-containing protein	NKFIDM_04990	KMIGAE_04990	ILIHOP_04990	True
group_4646	DUF6075 domain-containing protein	NKFIDM_01153	KMIGAE_01153	ILIHOP_01153	True
group_4642	oligoribonuclease	NKFIDM_03582	KMIGAE_03582	ILIHOP_03582	True
group_4640	DUF4250 domain-containing protein	NKFIDM_02504	KMIGAE_02504	ILIHOP_02504	True
group_4639	hypothetical protein	NKFIDM_01734	KMIGAE_01734	ILIHOP_01734	True
group_4638	hypothetical protein	NKFIDM_01390	KMIGAE_01390	ILIHOP_01390	True
group_4632	hypothetical protein	NKFIDM_06068	KMIGAE_06068	ILIHOP_06068	True
group_4624	hypothetical protein	NKFIDM_06089	KMIGAE_06089	ILIHOP_06089	True
group_4623	hypothetical protein	NKFIDM_06052	KMIGAE_06052	ILIHOP_06052	True
group_4619	hypothetical protein	NKFIDM_04965	KMIGAE_04965	ILIHOP_04965	True
group_4606	hypothetical protein	NKFIDM_01189	KMIGAE_01189	ILIHOP_01189	True
group_4604	Transcriptional regulator	NKFIDM_06074	KMIGAE_06074	ILIHOP_06074	True
group_4602	hypothetical protein	NKFIDM_04906	KMIGAE_04906	ILIHOP_04906	True
group_4599	helix-turn-helix domain-containing protein	NKFIDM_03549	KMIGAE_03549	ILIHOP_03549	True
group_4597	Conjugal transfer protein	NKFIDM_02525	KMIGAE_02525	ILIHOP_02525	True
group_4596	hypothetical protein	NKFIDM_02515	KMIGAE_02515	ILIHOP_02515	True
group_4594	hypothetical protein	NKFIDM_01111	KMIGAE_01111	ILIHOP_01111	True
group_4591	hypothetical protein	NKFIDM_00349	KMIGAE_00349	ILIHOP_00349	True
group_4589	hypothetical protein	NKFIDM_06109	KMIGAE_06109	ILIHOP_06109	True
group_4587	Methyltransferase	NKFIDM_04982	KMIGAE_04982	ILIHOP_04982	True
group_4586	hypothetical protein	NKFIDM_04938	KMIGAE_04938	ILIHOP_04938	True
group_4584	hypothetical protein	NKFIDM_03546	KMIGAE_03546	ILIHOP_03546	True
group_4580	SHOCT domain-containing protein	NKFIDM_01165	KMIGAE_01165	ILIHOP_01165	True
group_4577	hypothetical protein	NKFIDM_06604	KMIGAE_06604	ILIHOP_06604	True
group_4573	Sporulation protein Cse60	NKFIDM_06092	KMIGAE_06092	ILIHOP_06092	True
group_4569	hypothetical protein	NKFIDM_01179	KMIGAE_01179	ILIHOP_01179	True
group_4565	hypothetical protein	NKFIDM_03135	KMIGAE_03135	ILIHOP_03135	True
group_4561	Transposase	NKFIDM_01213	KMIGAE_01213	ILIHOP_01213	True
hicA	HicA toxin of toxin-antitoxin	NKFIDM_06066	KMIGAE_06066	ILIHOP_06066	True
group_4551	hypothetical protein	NKFIDM_02249	KMIGAE_02249	ILIHOP_02249	True
group_4546	hypothetical protein	NKFIDM_06091	KMIGAE_06091	ILIHOP_06091	True
group_4544	hypothetical protein	NKFIDM_04983	KMIGAE_04983	ILIHOP_04983	True
group_4543	hypothetical protein	NKFIDM_04948	KMIGAE_04948	ILIHOP_04948	True
group_4541	Periplasmic solute binding family protein	NKFIDM_02175	KMIGAE_02175	ILIHOP_02175	True
group_4536	hypothetical protein	NKFIDM_04962	KMIGAE_04962	ILIHOP_04962	True
group_4535	RNA polymerase sigma factor sigma-70 family protein	NKFIDM_04683	KMIGAE_04683	ILIHOP_04683	True
group_4532	Sulfatase-modifying factor enzyme domain-containing protein	NKFIDM_03598	KMIGAE_03598	ILIHOP_03598	True
group_4531	Aldo/keto reductase family protein	NKFIDM_03276	KMIGAE_03276	ILIHOP_03276	True
group_4519	HTH cro/C1-type domain-containing protein	NKFIDM_04940	KMIGAE_04940	ILIHOP_04940	True
group_4517	hypothetical protein	NKFIDM_04738	KMIGAE_04738	ILIHOP_04738	True
group_4510	Helix-turn-helix domain-containing protein	NKFIDM_00363	KMIGAE_00363	ILIHOP_00363	True
group_4504	hypothetical protein	NKFIDM_02969	KMIGAE_02969	ILIHOP_02969	True
group_4500	hypothetical protein	NKFIDM_00887	KMIGAE_00887	ILIHOP_00887	True
group_4497	NIF system FeS cluster assembly NifU C-terminal domain-containing protein	NKFIDM_04921	KMIGAE_04921	ILIHOP_04921	True
group_4488	Conserved domain protein	NKFIDM_06029	KMIGAE_06029	ILIHOP_06029	True
group_4472	XRE family transcriptional regulator	NKFIDM_06115	KMIGAE_06115	ILIHOP_06115	True
group_4469	hypothetical protein	NKFIDM_04986	KMIGAE_04986	ILIHOP_04986	True
group_4459	hypothetical protein	NKFIDM_03559	KMIGAE_03559	ILIHOP_03559	True
group_4454	L-serine ammonia-lyase	NKFIDM_01205	KMIGAE_01205	ILIHOP_01205	True
group_4452	hypothetical protein	NKFIDM_06602	KMIGAE_06602	ILIHOP_06602	True
group_4450	hypothetical protein	NKFIDM_06039	KMIGAE_06039	ILIHOP_06039	True
group_4449	hypothetical protein	NKFIDM_06038	KMIGAE_06038	ILIHOP_06038	True
group_4446	Phosphopantetheine attachment site family protein	NKFIDM_04694	KMIGAE_04694	ILIHOP_04694	True
group_4444	hypothetical protein	NKFIDM_03563	KMIGAE_03563	ILIHOP_03563	True
group_4443	hypothetical protein	NKFIDM_03553	KMIGAE_03553	ILIHOP_03553	True
group_4441	Bacterial Pleckstrin-like y domain-containing protein	NKFIDM_00322	KMIGAE_00322	ILIHOP_00322	True
group_4436	hypothetical protein	NKFIDM_06112	KMIGAE_06112	ILIHOP_06112	True
group_4431	hypothetical protein	NKFIDM_03560	KMIGAE_03560	ILIHOP_03560	True
group_4427	Peptide maturation system acyl carrier-related protein	NKFIDM_00286	KMIGAE_00286	ILIHOP_00286	True
group_4425	hypothetical protein	NKFIDM_06608	KMIGAE_06608	ILIHOP_06608	True
group_4422	CRISPR-associated endonuclease Cas2	NKFIDM_01398	KMIGAE_01398	ILIHOP_01398	True
group_4421	hypothetical protein	NKFIDM_00406	KMIGAE_00406	ILIHOP_00406	True
group_4416	hypothetical protein	NKFIDM_06085	KMIGAE_06085	ILIHOP_06085	True
group_4415	hypothetical protein	NKFIDM_05610	KMIGAE_05610	ILIHOP_05610	True
group_4413	hypothetical protein	NKFIDM_04942	KMIGAE_04942	ILIHOP_04942	True
group_4411	DUF6870 domain-containing protein	NKFIDM_02503	KMIGAE_02503	ILIHOP_02503	True
group_4406	hypothetical protein	NKFIDM_04527	KMIGAE_04527	ILIHOP_04527	True
group_4403	Bacterial mobilisation domain-containing protein	NKFIDM_02512	KMIGAE_02512	ILIHOP_02512	True
group_4401	Helix-turn-helix domain-containing protein	NKFIDM_01126	KMIGAE_01126	ILIHOP_01126	True
group_4397	Phage holin LL-H family	NKFIDM_03567	KMIGAE_03567	ILIHOP_03567	True
group_4394	DUF4315 domain-containing protein	NKFIDM_02517	KMIGAE_02517	ILIHOP_02517	True
rpsN	30S ribosomal protein S14	NKFIDM_02177	KMIGAE_02177	ILIHOP_02177	True
group_4390	hypothetical protein	NKFIDM_06082	KMIGAE_06082	ILIHOP_06082	True
group_4362	hypothetical protein	NKFIDM_04752	KMIGAE_04752	ILIHOP_04752	True
group_4353	HicB-like antitoxin of toxin-antitoxin system domain-containing protein	NKFIDM_01174	KMIGAE_01174	ILIHOP_01174	True
group_4352	hypothetical protein	NKFIDM_01135	KMIGAE_01135	ILIHOP_01135	True
group_4344	Holin	NKFIDM_06035	KMIGAE_06035	ILIHOP_06035	True
group_4343	LexA repressor DNA-binding domain-containing protein	NKFIDM_04937	KMIGAE_04937	ILIHOP_04937	True
group_4341	hypothetical protein	NKFIDM_04519	KMIGAE_04519	ILIHOP_04519	True
group_4330	MarR family transcriptional regulator	NKFIDM_06031	KMIGAE_06031	ILIHOP_06031	True
group_4327	VRR-NUC domain-containing protein	NKFIDM_04969	KMIGAE_04969	ILIHOP_04969	True
group_4326	hypothetical protein	NKFIDM_04922	KMIGAE_04922	ILIHOP_04922	True
group_4325	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	NKFIDM_03555	KMIGAE_03555	ILIHOP_03555	True
group_4324	hypothetical protein	NKFIDM_01812	KMIGAE_01812	ILIHOP_01812	True
group_4323	Antitoxin	NKFIDM_01137	KMIGAE_01137	ILIHOP_01137	True
group_4320	DUF3139 domain-containing protein	NKFIDM_00379	KMIGAE_00379	ILIHOP_00379	True
group_4319	CRISPR-associated endonuclease Cas2	NKFIDM_00344	KMIGAE_00344	ILIHOP_00344	True
group_4313	DUF2187 domain-containing protein	NKFIDM_04953	KMIGAE_04953	ILIHOP_04953	True
group_4311	hemolysin	NKFIDM_03593	KMIGAE_03593	ILIHOP_03593	True
group_4302	STAS-like domain-containing protein	NKFIDM_06032	KMIGAE_06032	ILIHOP_06032	True
group_4297	Mobilization protein	NKFIDM_01139	KMIGAE_01139	ILIHOP_01139	True
group_4294	hypothetical protein	NKFIDM_04988	KMIGAE_04988	ILIHOP_04988	True
group_4291	EscS/YscS/HrcS family type III secretion system export apparatus protein	NKFIDM_02510	KMIGAE_02510	ILIHOP_02510	True
group_4290	TipAS antibiotic-recognition domain-containing protein	NKFIDM_01130	KMIGAE_01130	ILIHOP_01130	True
group_4284	Phage protein	NKFIDM_06076	KMIGAE_06076	ILIHOP_06076	True
cdiI	CdiI immunity protein domain-containing protein	NKFIDM_05387	KMIGAE_05387	ILIHOP_05388	True
group_4279	Glutamyl-tRNA amidotransferase	NKFIDM_01145	KMIGAE_01145	ILIHOP_01145	True
group_4276	hypothetical protein	NKFIDM_06310	KMIGAE_06310	ILIHOP_06310	True
group_4275	hypothetical protein	NKFIDM_06071	KMIGAE_06071	ILIHOP_06071	True
group_4272	hypothetical protein	NKFIDM_03548	KMIGAE_03548	ILIHOP_03548	True
group_4269	HicB family toxin-antitoxin system	NKFIDM_01175	KMIGAE_01175	ILIHOP_01175	True
group_4265	Phage protein	NKFIDM_06098	KMIGAE_06098	ILIHOP_06098	True
group_4261	hypothetical protein	NKFIDM_03573	KMIGAE_03573	ILIHOP_03573	True
group_4252	hypothetical protein	NKFIDM_06307	KMIGAE_06307	ILIHOP_06307	True
group_4236	thioredoxin	NKFIDM_01169	KMIGAE_01169	ILIHOP_01169	True
group_4235	hypothetical protein	NKFIDM_01131	KMIGAE_01131	ILIHOP_01131	True
group_4227	hypothetical protein	NKFIDM_04734	KMIGAE_04734	ILIHOP_04734	True
group_4225	ArsR family transcriptional regulator	NKFIDM_03568	KMIGAE_03568	ILIHOP_03568	True
group_4223	Plasmid stabilization protein	NKFIDM_01138	KMIGAE_01138	ILIHOP_01138	True
group_4208	Mor transcription activator family protein	NKFIDM_03565	KMIGAE_03565	ILIHOP_03565	True
group_4199	hypothetical protein	NKFIDM_06095	KMIGAE_06095	ILIHOP_06095	True
hicB	Toxin-antitoxin system HicB family antitoxin	NKFIDM_06065	KMIGAE_06065	ILIHOP_06065	True
group_4192	stalk domain-containing protein	NKFIDM_06305	KMIGAE_06305	ILIHOP_06305	True
xhlA	Hemolysin XhlA family protein	NKFIDM_06037	KMIGAE_06037	ILIHOP_06037	True
group_4176	GNAT family N-acetyltransferase	NKFIDM_03224	KMIGAE_03224	ILIHOP_03224	True
group_4170	DUF3553 domain-containing protein	NKFIDM_06081	KMIGAE_06081	ILIHOP_06081	True
group_4167	Ryanodine receptor Ryr domain-containing protein	NKFIDM_04960	KMIGAE_04960	ILIHOP_04960	True
avd	diversity-generating retroelement protein Avd	NKFIDM_03597	KMIGAE_03597	ILIHOP_03597	True
group_4162	Helix-turn-helix family protein	NKFIDM_01147	KMIGAE_01147	ILIHOP_01147	True
group_4156	hypothetical protein	NKFIDM_04973	KMIGAE_04973	ILIHOP_04973	True
group_4150	Regulator of chromosome condensation (RCC1) repeat family protein	NKFIDM_06306	KMIGAE_06306	ILIHOP_06306	True
group_4149	hypothetical protein	NKFIDM_06078	KMIGAE_06078	ILIHOP_06078	True
group_4148	head fiber protein	NKFIDM_04956	KMIGAE_04956	ILIHOP_04956	True
group_4145	MmcQ/YjbR family DNA-binding protein	NKFIDM_03217	KMIGAE_03217	ILIHOP_03217	True
group_4143	hypothetical protein	NKFIDM_01149	KMIGAE_01149	ILIHOP_01149	True
group_4140	hypothetical protein	NKFIDM_06087	KMIGAE_06087	ILIHOP_06087	True
group_4132	hypothetical protein	NKFIDM_06090	KMIGAE_06090	ILIHOP_06090	True
group_4131	hypothetical protein	NKFIDM_06050	KMIGAE_06050	ILIHOP_06050	True
group_4129	Cytoplasmic protein	NKFIDM_03237	KMIGAE_03237	ILIHOP_03237	True
group_4123	EamA domain-containing protein	NKFIDM_05825	KMIGAE_05825	ILIHOP_05825	True
group_4120	VOC domain-containing protein	NKFIDM_04925	KMIGAE_04925	ILIHOP_04925	True
group_4119	hypothetical protein	NKFIDM_04751	KMIGAE_04751	ILIHOP_04751	True
group_4110	Putative membrane protein	NKFIDM_03308	KMIGAE_03308	ILIHOP_03308	True
group_4109	DUF1048 domain-containing protein	NKFIDM_03236	KMIGAE_03236	ILIHOP_03236	True
group_4108	Nucleoside 2-deoxyribosyltransferase-like protein	NKFIDM_02532	KMIGAE_02532	ILIHOP_02532	True
group_4094	DUF6075 domain-containing protein	NKFIDM_01193	KMIGAE_01193	ILIHOP_01193	True
group_4093	hypothetical protein	NKFIDM_00979	KMIGAE_00979	ILIHOP_00979	True
group_4092	HTH cro/C1-type domain-containing protein	NKFIDM_06601	KMIGAE_06601	ILIHOP_06601	True
group_4087	MerR regulatory family protein	NKFIDM_03252	KMIGAE_03252	ILIHOP_03252	True
group_4086	Tyrosine protein kinase	NKFIDM_03201	KMIGAE_03201	ILIHOP_03201	True
group_4084	rhodanese-like domain-containing protein	NKFIDM_02530	KMIGAE_02530	ILIHOP_02530	True
group_4077	MarR family transcriptional regulator	NKFIDM_02529	KMIGAE_02529	ILIHOP_02529	True
group_4076	cysteine-rich VLP domain-containing protein	NKFIDM_02514	KMIGAE_02514	ILIHOP_02514	True
group_4075	PrgI family protein	NKFIDM_01150	KMIGAE_01150	ILIHOP_01150	True
group_4069	Cdc6-related protein	NKFIDM_03578	KMIGAE_03578	ILIHOP_03578	True
group_4068	SDR family NAD(P)-dependent oxidoreductase	NKFIDM_03248	KMIGAE_03248	ILIHOP_03248	True
group_4056	PTS system glucose subfamily IIA component domain protein	NKFIDM_02214	KMIGAE_02214	ILIHOP_02214	True
group_4041	HIRAN domain-containing protein	NKFIDM_04723	KMIGAE_04723	ILIHOP_04723	True
group_4024	Phage holin family protein	NKFIDM_02196	KMIGAE_02196	ILIHOP_02196	True
prgI	PrgI family protein	NKFIDM_02520	KMIGAE_02520	ILIHOP_02520	True
group_4008	Fe-S protein	NKFIDM_03579	KMIGAE_03579	ILIHOP_03579	True
group_4002	hypothetical protein	NKFIDM_05965	KMIGAE_05965	ILIHOP_05965	True
group_3997	ABC transporter permease	NKFIDM_01119	KMIGAE_01119	ILIHOP_01119	True
group_3993	hypothetical protein	NKFIDM_06086	KMIGAE_06086	ILIHOP_06086	True
vapC	Type II toxin-antitoxin system VapC family toxin	NKFIDM_04737	KMIGAE_04737	ILIHOP_04737	True
group_3989	hypothetical protein	NKFIDM_03601	KMIGAE_03601	ILIHOP_03601	True
group_3984	hypothetical protein	NKFIDM_04740	KMIGAE_04740	ILIHOP_04740	True
group_3975	Streptococcus thermophilus bacteriophage Gp111 protein	NKFIDM_04941	KMIGAE_04941	ILIHOP_04941	True
group_3971	DUF7007 domain-containing protein	NKFIDM_02522	KMIGAE_02522	ILIHOP_02522	True
group_3965	DUF2190 domain-containing protein	NKFIDM_03576	KMIGAE_03576	ILIHOP_03576	True
group_3961	PD-(D/E)XK nuclease transposase family protein	NKFIDM_01214	KMIGAE_01214	ILIHOP_01214	True
group_3960	Rrf2 family protein	NKFIDM_01173	KMIGAE_01173	ILIHOP_01173	True
group_3959	hypothetical protein	NKFIDM_01160	KMIGAE_01160	ILIHOP_01160	True
group_3953	AAA family ATPase	NKFIDM_03595	KMIGAE_03595	ILIHOP_03595	True
group_3943	SDR family oxidoreductase	NKFIDM_03247	KMIGAE_03247	ILIHOP_03247	True
group_3935	YopX protein domain-containing protein	NKFIDM_06079	KMIGAE_06079	ILIHOP_06079	True
group_3934	Podophage GP4 fiber I protein gp80	NKFIDM_06046	KMIGAE_06046	ILIHOP_06046	True
group_3920	helix-turn-helix domain-containing protein	NKFIDM_01107	KMIGAE_01107	ILIHOP_01107	True
gtrA	GtrA family protein	NKFIDM_05818	KMIGAE_05818	ILIHOP_05818	True
group_3915	hypothetical protein	NKFIDM_04958	KMIGAE_04958	ILIHOP_04958	True
group_3911	RNA polymerase sigma factor 70 region 4 type 2 domain-containing protein	NKFIDM_02505	KMIGAE_02505	ILIHOP_02505	True
group_3906	RNA polymerase sigma factor 70 region 4 type 2 domain-containing protein	NKFIDM_01192	KMIGAE_01192	ILIHOP_01192	True
group_3905	Sigma-70 region 4 family protein	NKFIDM_01152	KMIGAE_01152	ILIHOP_01152	True
yopX	YopX family protein	NKFIDM_06083	KMIGAE_06083	ILIHOP_06083	True
group_3895	Ferric uptake regulator family protein	NKFIDM_02176	KMIGAE_02176	ILIHOP_02176	True
group_3892	holin family protein	NKFIDM_04945	KMIGAE_04945	ILIHOP_04945	True
group_3890	peptide methionine sulfoxide reductase	NKFIDM_03589	KMIGAE_03589	ILIHOP_03589	True
group_3881	ABC transporter permease	NKFIDM_06110	KMIGAE_06110	ILIHOP_06110	True
group_3873	single-stranded DNA-binding protein	NKFIDM_06104	KMIGAE_06104	ILIHOP_06104	True
group_3871	Transcriptional regulator	NKFIDM_04966	KMIGAE_04966	ILIHOP_04966	True
group_3866	VOC domain-containing protein	NKFIDM_02521	KMIGAE_02521	ILIHOP_02521	True
