# Efflux Pump Analysis — H7 Assessment
# Date: 2026-03-23

## Summary
M5 efflux pump genes: 521
I6 efflux pump genes: 823
Difference: -302

## M5 efflux genes
Locus_tag	Start	Stop	Product	IS_within_5kb
NKFIDM_00487	534360	535235	ABC transporter permease subunit	no
NKFIDM_00488	535235	536071	ABC transporter permease subunit	no
NKFIDM_00527	581847	582224	MerR family transcriptional regulator	YES (1 IS)
NKFIDM_00528	582391	583761	Efflux RND transporter periplasmic adaptor subunit	YES (1 IS)
NKFIDM_00529	583754	586903	AcrB/AcrD/AcrF family protein	YES (1 IS)
NKFIDM_00533	590742	591668	ABC transporter permease subunit	no
NKFIDM_00550	619313	620476	multiple monosaccharide ABC transporter permease	no
NKFIDM_00551	620481	622010	multiple monosaccharide ABC transporter ATP-binding protein	no
NKFIDM_00552	622150	623319	multiple monosaccharide ABC transporter substrate-binding protein	no
NKFIDM_00555	626976	627989	Sugar ABC transporter	no
NKFIDM_00561	634071	634967	Sugar ABC transporter permease	no
NKFIDM_00637	741445	742803	putative multidrug resistance protein NorM	no
NKFIDM_00645	753747	754895	D-glutamate N-acetyltransferase-like C-terminal domain-containing protein	no
NKFIDM_00646	754918	756063	D-glutamate N-acetyltransferase-like C-terminal domain-containing protein	no
NKFIDM_00648	757384	758766	3-phosphoshikimate 1-carboxyvinyltransferase	no
NKFIDM_00649	758827	760224	MATE efflux family protein	no
NKFIDM_00681	797390	798265	ABC transporter permease subunit	no
NKFIDM_00682	798290	799120	ABC transporter permease subunit	no
NKFIDM_00691	808158	808961	ABC transporter family protein	no
NKFIDM_00704	820500	821576	Sulfate ABC transporter substrate-binding protein	YES (3 IS)
NKFIDM_00705	821676	822506	sulfate ABC transporter permease subunit CysT	YES (3 IS)
NKFIDM_00706	822548	823408	sulfate ABC transporter permease subunit CysW	YES (2 IS)
NKFIDM_00742	860963	861841	ABC transporter permease subunit	YES (1 IS)
NKFIDM_00748	870981	872999	Na+/H+ antiporter	no
NKFIDM_00761	885646	886644	ABC transporter substrate-binding protein	no
NKFIDM_00795	912345	912731	MerR family transcriptional regulator	no
NKFIDM_00801	918825	919679	ABC transporter permease subunit	no
NKFIDM_00802	919752	920576	ABC transporter permease protein YtcP	no
NKFIDM_00823	951293	952390	Autoinducer 2 ABC transporter substrate-binding protein	no
NKFIDM_00835	968031	968915	ABC transporter permease subunit	no
NKFIDM_00836	968918	969739	ABC transporter permease subunit	no
NKFIDM_00844	976201	977502	ABC transporter family protein	no
NKFIDM_00880	1022604	1023323	ABC transporter permease	YES (1 IS)
NKFIDM_00882	1023782	1024708	ABC transporter family protein	YES (1 IS)
NKFIDM_00893	1033398	1034663	MFS transporter	no
NKFIDM_00897	1038040	1038861	ABC transporter permease subunit	no
NKFIDM_00898	1038858	1039727	ABC transporter permease subunit	no
NKFIDM_00903	1045110	1046522	MATE efflux family protein	no
NKFIDM_00911	1055344	1055946	ABC transporter ATP-binding protein	no
NKFIDM_00914	1061475	1063004	Drug resistance MFS transporter, drug:H+ antiporter-2 family protein	no
NKFIDM_00917	1063709	1064179	MarR family protein	no
NKFIDM_00918	1064443	1065147	ABC transporter family protein	no
NKFIDM_00919	1065162	1066433	Bacterial ABC transporter EcsB family protein	no
NKFIDM_00925	1072895	1073554	ABC transporter permease subunit	no
NKFIDM_00926	1073548	1074612	ABC transporter family protein	no
NKFIDM_00928	1075837	1076661	Methionine ABC transporter substrate-binding protein	no
NKFIDM_00964	1120194	1121144	ABC transporter permease subunit	YES (1 IS)
NKFIDM_00965	1121146	1122012	ABC transporter permease subunit	YES (1 IS)
NKFIDM_00966	1122154	1123611	ABC transporter substrate-binding protein	YES (1 IS)
NKFIDM_00967	1123765	1124886	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	YES (1 IS)
NKFIDM_00970	1128697	1130010	glutamate-1-semialdehyde 2,1-aminomutase	YES (1 IS)
NKFIDM_00990	1157038	1157955	ABC transporter family protein	no
NKFIDM_01001	1171628	1172590	ABC transporter permease subunit	no
NKFIDM_01020	1193589	1194374	ABC transporter family protein	no
NKFIDM_01023	1196263	1197276	ABC transporter family protein	YES (1 IS)
NKFIDM_01030	1204604	1205068	MarR family protein	YES (1 IS)
NKFIDM_01042	1214203	1215180	ABC transporter substrate-binding protein	no
NKFIDM_01063	1240416	1241144	Glutamine ABC transporter, ATP-binding protein GlnQ	no
NKFIDM_01065	1242129	1242779	ABC transporter permease subunit	no
NKFIDM_01066	1242810	1243460	ABC transporter permease subunit	no
NKFIDM_01084	1265248	1266072	ABC transporter family protein	YES (1 IS)
NKFIDM_01085	1266069	1266821	ABC transporter permease	YES (1 IS)
NKFIDM_01118	1298928	1299407	ABC transporter permease	no
NKFIDM_01119	1299489	1299878	ABC transporter permease	no
NKFIDM_01172	1352727	1354112	MFS-type transporter YcnB	no
NKFIDM_01224	1413244	1414530	MFS transporter	no
NKFIDM_01230	1422647	1424089	MFS-type transporter YcnB	no
NKFIDM_01237	1431033	1431410	MerR family transcriptional regulator	no
NKFIDM_01250	1445323	1445646	MerR regulatory family protein	no
NKFIDM_01261	1453345	1454691	MFS transporter	YES (1 IS)
NKFIDM_01262	1454688	1455164	Daunorubicin/doxorubicin resistance ABC transporter permease protein drrB	YES (1 IS)
NKFIDM_01277	1475158	1476456	ABC transporter substrate-binding protein	no
NKFIDM_01278	1476571	1477455	Carbohydrate ABC transporter membrane protein 1 (CUT1 family)	no
NKFIDM_01279	1477482	1478321	ABC transporter permease subunit	no
NKFIDM_01289	1487849	1489627	ABC transporter family protein	no
NKFIDM_01290	1489614	1491389	ABC transporter family protein	no
NKFIDM_01357	1587733	1588863	D-xylose ABC transporter substrate-binding protein	no
NKFIDM_01358	1588915	1590426	xylose ABC transporter ATP-binding protein	no
NKFIDM_01367	1601040	1602470	Putative basic amino acid antiporter YfcC	no
NKFIDM_01370	1605866	1606582	Lantibiotic protection ABC transporter ATP-binding subunit	no
NKFIDM_01371	1606575	1607333	Lantibiotic immunity ABC transporter MutE/EpiE family permease subunit	no
NKFIDM_01372	1607336	1608127	Lantibiotic protection ABC transporter permease subunit, MutG family protein	no
NKFIDM_01416	1656096	1657013	ABC transporter permease subunit	no
NKFIDM_01418	1658041	1659018	ABC transporter domain-containing protein	no
NKFIDM_01419	1659018	1660193	ABC transporter domain-containing protein	no
NKFIDM_01441	1686178	1686954	ABC transporter permease	no
NKFIDM_01442	1686951	1687949	ABC transporter permease	no
NKFIDM_01443	1688096	1689253	ABC transporter family protein	no
NKFIDM_01449	1699700	1701070	Efflux transporter, RND family, MFP subunit	YES (1 IS)
NKFIDM_01450	1701067	1702329	ABC transporter permease	YES (1 IS)
NKFIDM_01454	1706373	1707077	ABC transporter family protein	YES (1 IS)
NKFIDM_01459	1712973	1713764	ABC transporter family protein	no
NKFIDM_01460	1713757	1714437	ABC transporter permease subunit	no
NKFIDM_01472	1729556	1730440	ABC transporter permease subunit	YES (1 IS)
NKFIDM_01473	1730458	1731300	ABC transporter permease subunit	YES (1 IS)
NKFIDM_01481	1745788	1746447	ABC transporter permease subunit	no
NKFIDM_01486	1752522	1753403	ABC transporter permease subunit	no
NKFIDM_01487	1753403	1754233	ABC transporter permease subunit	no
NKFIDM_01497	1766626	1767507	Sugar ABC transporter permease	YES (1 IS)
NKFIDM_01498	1767518	1768405	Carbohydrate ABC transporter permease	YES (1 IS)
NKFIDM_01504	1775685	1776542	ABC transporter permease subunit	no
NKFIDM_01505	1776557	1777381	ABC transporter permease subunit	no
NKFIDM_01534	1806308	1810909	glutamate synthase large subunit	no
NKFIDM_01538	1812778	1813692	ABC transporter family protein	no
NKFIDM_01539	1813685	1814461	ABC transporter permease subunit	no
NKFIDM_01571	1845104	1845925	ABC transporter permease subunit	YES (1 IS)
NKFIDM_01572	1845918	1846664	ABC transporter family protein	YES (1 IS)
NKFIDM_01576	1850038	1850904	ABC transporter permease subunit	no
NKFIDM_01578	1851659	1852450	ABC transporter family protein	no
NKFIDM_01605	1882115	1883053	ABC transporter, permease protein	no
NKFIDM_01606	1883053	1883892	ABC transporter permease subunit	no
NKFIDM_01624	1897798	1898532	ABC transporter ATP-binding protein	no
NKFIDM_01645	1921118	1922056	ABC transporter family protein	no
NKFIDM_01646	1922043	1922984	ABC transporter permease subunit	no
NKFIDM_01659	1941015	1942079	Sulfate ABC transporter ATP-binding protein	YES (1 IS)
NKFIDM_01661	1943606	1944613	ABC transporter family protein	YES (1 IS)
NKFIDM_01666	1949132	1949929	glutamate racemase	YES (1 IS)
NKFIDM_01675	1958180	1959055	ABC transporter permease subunit	no
NKFIDM_01676	1959081	1959926	ABC transporter permease subunit	no
NKFIDM_01683	1968179	1969255	ABC transporter substrate-binding protein	no
NKFIDM_01684	1969269	1970060	ABC transporter family protein	no
NKFIDM_01690	1977228	1978247	ABC transporter substrate-binding protein	no
NKFIDM_01692	1979290	1980123	ABC transporter family protein	no
NKFIDM_01700	1988654	1990198	Drug resistance MFS transporter, drug:H+ antiporter-2 family protein	no
NKFIDM_01707	1996983	1998029	ABC transporter substrate-binding protein	no
NKFIDM_01763	2066510	2068048	ABC transporter family protein	no
NKFIDM_01765	2069116	2070075	ABC transporter permease	no
NKFIDM_01826	2137049	2138092	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase	YES (1 IS)
NKFIDM_01827	2138344	2139768	type I glutamate--ammonia ligase	YES (1 IS)
NKFIDM_01831	2144660	2145553	ABC transporter permease subunit	YES (1 IS)
NKFIDM_01848	2171180	2171563	Branched-chain amino acid ABC transporter substrate-binding protein	no
NKFIDM_01899	2224763	2225605	(pseudo) glutamate-1-semialdehyde 2,1-aminomutase	no
NKFIDM_01915	2242283	2243599	C4-dicarboxylate ABC transporter	no
NKFIDM_01924	2249431	2250357	ribose ABC transporter substrate-binding protein RbsB	YES (1 IS)
NKFIDM_01925	2250370	2251296	Ribose ABC transporter permease	YES (1 IS)
NKFIDM_01959	2284781	2286916	formate dehydrogenase subunit alpha	no
NKFIDM_01965	2293250	2294068	formate dehydrogenase accessory sulfurtransferase FdhD	no
NKFIDM_02000	2335306	2335482	Glutamate decarboxylase	no
NKFIDM_02022	2360198	2360953	phosphate ABC transporter ATP-binding protein PstB	no
NKFIDM_02031	2368695	2369597	phosphate ABC transporter permease subunit PstC	YES (1 IS)
NKFIDM_02032	2369594	2370481	phosphate ABC transporter permease PstA	YES (1 IS)
NKFIDM_02033	2370494	2371252	phosphate ABC transporter ATP-binding protein PstB	YES (1 IS)
NKFIDM_02039	2375363	2376196	ABC transporter permease subunit	YES (1 IS)
NKFIDM_02040	2376219	2377106	ABC transporter permease subunit	YES (1 IS)
NKFIDM_02050	2387622	2388437	glutamate racemase	no
NKFIDM_02055	2392295	2393236	oligopeptide ABC transporter permease	no
NKFIDM_02056	2393259	2394944	Peptide ABC transporter substrate-binding protein	no
NKFIDM_02058	2396549	2398144	ABC transporter substrate-binding protein	no
NKFIDM_02059	2398230	2399180	ABC transporter permease subunit	no
NKFIDM_02060	2399209	2400138	ABC transporter permease subunit	no
NKFIDM_02062	2401187	2402191	Dipeptide ABC transporter ATP-binding protein	no
NKFIDM_02085	2423925	2424749	ABC transporter permease subunit	no
NKFIDM_02099	2441158	2442567	putative multidrug resistance protein NorM	YES (1 IS)
NKFIDM_02120	2460635	2462005	putative multidrug resistance protein NorM	no
NKFIDM_02133	2471822	2472247	MerR family transcriptional regulator	no
NKFIDM_02168	2508327	2509937	nickel ABC transporter substrate-binding protein	no
NKFIDM_02169	2509950	2510891	nickel ABC transporter permease	no
NKFIDM_02171	2511754	2512620	ABC transporter family protein	no
NKFIDM_02172	2512598	2513401	ABC transporter family protein	no
NKFIDM_02186	2522354	2523133	ABC transporter family protein	no
NKFIDM_02190	2527033	2527851	MerR family transcriptional regulator	no
NKFIDM_02207	2545565	2545879	QacE family quaternary ammonium compound efflux SMR transporter	no
NKFIDM_02208	2545881	2546228	Small Multidrug Resistance family protein	no
NKFIDM_02225	2567873	2568820	ABC transporter permease subunit	no
NKFIDM_02226	2568817	2569620	ABC transporter permease subunit	no
NKFIDM_02228	2570419	2571207	ABC transporter family protein	no
NKFIDM_02252	2602200	2603180	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase family protein	YES (2 IS)
NKFIDM_02262	2614234	2615121	ABC transporter permease subunit	no
NKFIDM_02263	2615135	2615965	Sugar ABC transporter ATP-binding protein	no
NKFIDM_02264	2616026	2617378	ABC transporter substrate-binding protein	no
NKFIDM_02275	2630396	2631463	ABC transporter family protein	no
NKFIDM_02276	2631460	2632140	ABC transporter permease subunit	no
NKFIDM_02282	2636070	2636384	Multidrug resistance protein ykkD	no
NKFIDM_02283	2636381	2636722	Multidrug resistance protein ykkC	no
NKFIDM_02288	2644284	2645693	MFS transporter	no
NKFIDM_02300	2654622	2655701	Iron chelate uptake ABC transporter family permease subunit	YES (1 IS)
NKFIDM_02301	2655706	2656467	ABC transporter family protein	YES (1 IS)
NKFIDM_02302	2656484	2657512	ABC transporter substrate-binding protein	YES (1 IS)
NKFIDM_02313	2674638	2675345	ABC transporter family protein	no
NKFIDM_02315	2676144	2677313	ABC transporter substrate-binding protein	no
NKFIDM_02317	2678672	2680960	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	no
NKFIDM_02318	2681400	2681591	Small Multidrug Resistance family protein	no
NKFIDM_02343	2710678	2711793	ABC transporter family protein	no
NKFIDM_02345	2712697	2713518	ABC transporter permease subunit	no
NKFIDM_02361	2730267	2731124	ABC transporter permease subunit	no
NKFIDM_02362	2731152	2732039	ABC transporter permease subunit	no
NKFIDM_02381	2757902	2759131	Multidrug resistance family protein	no
NKFIDM_02396	2779179	2780546	MFS transporter	no
NKFIDM_02408	2793929	2794756	ABC transporter permease	no
NKFIDM_02409	2794753	2795547	ABC transporter family protein	no
NKFIDM_02410	2795561	2796625	ABC transporter, substrate-binding, aliphatic sulfonates family protein	no
NKFIDM_02417	2805427	2806776	MFS transporter	no
NKFIDM_02426	2817499	2818134	Chromate transporter	no
NKFIDM_02427	2818148	2818681	Chromate transporter	no
NKFIDM_02458	2859747	2861066	MFS transporter	no
NKFIDM_02465	2869576	2870544	ABC transporter permease subunit	YES (2 IS)
NKFIDM_02481	2891327	2892238	ABC transporter permease subunit	no
NKFIDM_02482	2892231	2893055	ABC transporter permease subunit	no
NKFIDM_02484	2894246	2894746	MarR family transcriptional regulator	no
NKFIDM_02529	2932790	2933152	MarR family transcriptional regulator	no
NKFIDM_02603	3017663	3019033	MFS transporter	no
NKFIDM_02605	3021966	3023252	MFS transporter	no
NKFIDM_02607	3024605	3025435	ABC transporter permease subunit	no
NKFIDM_02608	3025460	3026347	ABC transporter permease subunit	no
NKFIDM_02642	3073634	3074350	ABC transporter family protein	no
NKFIDM_02643	3074367	3075668	ABC transporter permease	no
NKFIDM_02668	3108147	3109376	MFS transporter	no
NKFIDM_02669	3109389	3110171	ABC transporter family protein	no
NKFIDM_02726	3170512	3171759	glutamate-5-semialdehyde dehydrogenase	YES (1 IS)
NKFIDM_02727	3171789	3172895	Glutamate 5-kinase	YES (1 IS)
NKFIDM_02762	3213604	3214278	molybdate ABC transporter permease subunit	YES (1 IS)
NKFIDM_02763	3214288	3215136	molybdate ABC transporter substrate-binding protein	YES (1 IS)
NKFIDM_02774	3228448	3229635	formate-dependent phosphoribosylglycinamide formyltransferase	YES (1 IS)
NKFIDM_02780	3235845	3236645	ABC transporter family protein	YES (1 IS)
NKFIDM_02781	3236642	3237346	ABC transporter family protein	no
NKFIDM_02789	3246932	3247942	galactose/methyl galactoside ABC transporter permease MglC	YES (1 IS)
NKFIDM_02799	3258166	3259155	ABC transporter permease subunit	no
NKFIDM_02804	3267095	3267505	MarR family protein	no
NKFIDM_02807	3269516	3271270	ABC transporter family protein	no
NKFIDM_02809	3272779	3273558	ABC transporter family protein	no
NKFIDM_02821	3284608	3285525	ABC transporter permease subunit	no
NKFIDM_02822	3285548	3286408	ABC transporter permease subunit	no
NKFIDM_02858	3327780	3328991	MFS transporter	no
NKFIDM_02863	3332657	3333640	ABC transporter family protein	no
NKFIDM_02864	3333637	3334506	ABC transporter permease subunit	no
NKFIDM_02886	3356275	3357225	ABC transporter permease subunit	no
NKFIDM_02895	3367902	3368735	Inner membrane ABC transporter permease protein YcjP	no
NKFIDM_02902	3377483	3378898	Sugar ABC transporter substrate-binding protein	no
NKFIDM_02914	3391307	3392077	ABC transporter family protein	no
NKFIDM_02916	3394321	3395754	Drug resistance MFS transporter, drug:H+ antiporter-2 family protein	YES (1 IS)
NKFIDM_02918	3396862	3397593	ABC transporter permease	YES (1 IS)
NKFIDM_02919	3397590	3398309	ABC transporter family protein	YES (1 IS)
NKFIDM_02928	3408864	3409745	ABC transporter permease subunit	no
NKFIDM_02959	3445834	3446211	MerR family transcriptional regulator	no
NKFIDM_02961	3447614	3448747	MFS transporter	YES (2 IS)
NKFIDM_03018	3500469	3501878	DHA2 family efflux MFS transporter permease subunit	no
NKFIDM_03041	3529170	3530432	MFS transporter	YES (1 IS)
NKFIDM_03043	3531256	3532242	ABC transporter family protein	YES (1 IS)
NKFIDM_03045	3532784	3533647	ABC transporter family protein	YES (1 IS)
NKFIDM_03048	3536330	3537844	Sugar ABC transporter substrate-binding protein	YES (1 IS)
NKFIDM_03049	3537935	3538888	ABC transporter permease subunit	YES (1 IS)
NKFIDM_03050	3538885	3539700	ABC transporter permease subunit	YES (1 IS)
NKFIDM_03074	3568114	3568944	ABC transporter family protein	no
NKFIDM_03091	3589054	3590382	type I glutamate--ammonia ligase	no
NKFIDM_03111	3612267	3612755	ABC transporter permease	no
NKFIDM_03133	3633699	3635186	Glutamate synthase (NADPH/NADH) small chain	no
NKFIDM_03145	3647236	3647970	ABC transporter family protein	no
NKFIDM_03156	3661118	3661780	ABC transporter permease subunit	YES (1 IS)
NKFIDM_03157	3661767	3662489	Arginine ABC transporter, ATP-binding protein ArtM	YES (1 IS)
NKFIDM_03168	3672102	3672548	MarR family transcriptional regulator	no
NKFIDM_03188	3691215	3691613	MerR family DNA-binding transcriptional regulator	YES (2 IS)
NKFIDM_03252	3746351	3746710	MerR regulatory family protein	no
NKFIDM_03262	3757798	3758685	MarR family transcriptional regulator	no
NKFIDM_03284	3782183	3782434	ABC transporter family protein	no
NKFIDM_03285	3782542	3783753	MFS transporter	no
NKFIDM_03318	3816554	3817978	MDR family MFS transporter	no
NKFIDM_03353	3852564	3853394	Sugar ABC transporter ATP-binding protein	no
NKFIDM_03361	3860371	3861519	Sodium:proton antiporter	YES (1 IS)
NKFIDM_03385	3888447	3889358	ABC transporter permease subunit	no
NKFIDM_03395	3902211	3903701	ABC transporter family protein	no
NKFIDM_03419	3931130	3932308	MFS transporter	no
NKFIDM_03433	3945160	3945585	MarR family protein	no
NKFIDM_03434	3945743	3947221	DHA2 family efflux MFS transporter permease subunit	no
NKFIDM_03453	3964795	3965562	ABC transporter family protein	no
NKFIDM_03454	3965592	3966260	ABC transporter permease subunit	no
NKFIDM_03455	3966241	3966906	ABC transporter permease subunit	no
NKFIDM_03462	3974794	3975558	MerR family transcriptional regulator	no
NKFIDM_03466	3980026	3980994	ABC transporter permease subunit	YES (1 IS)
NKFIDM_03476	3991433	3992476	ABC transporter substrate-binding protein	no
NKFIDM_03478	3992686	3993666	Iron chelate uptake ABC transporter family permease subunit	no
NKFIDM_03479	3993666	3994715	Iron chelate uptake ABC transporter family permease subunit	no
NKFIDM_03509	4033317	4034264	ABC transporter permease subunit	no
NKFIDM_03532	4061476	4062261	ABC transporter permease	no
NKFIDM_03533	4062269	4063072	ABC transporter permease	no
NKFIDM_03534	4063065	4064114	ABC transporter, ATP-binding protein	no
NKFIDM_03556	4086403	4087044	ABC transporter permease	YES (1 IS)
NKFIDM_03604	4121696	4122967	MFS transporter	no
NKFIDM_03605	4122964	4123443	MarR family transcriptional regulator	no
NKFIDM_03621	4137715	4138104	fluoride efflux transporter CrcB	YES (2 IS)
NKFIDM_03622	4138101	4138466	fluoride efflux transporter CrcB	YES (2 IS)
NKFIDM_03638	4150934	4151731	ABC transporter family protein	no
NKFIDM_03639	4151731	4152645	ABC transporter permease	no
NKFIDM_03645	4159013	4160260	Chromate transporter, chromate ion transporter family protein	no
NKFIDM_03659	4171567	4173393	ABC transporter ATP-binding protein	no
NKFIDM_03671	4187855	4188721	ABC transporter family protein	no
NKFIDM_03675	4190760	4191986	MFS transporter	no
NKFIDM_03683	4198709	4200472	ABC transporter family protein	no
NKFIDM_03686	4201995	4203740	Putative multidrug resistance ABC transporter ATP-binding/permease protein YheI	no
NKFIDM_03687	4203757	4205829	Putative multidrug resistance ABC transporter ATP-binding/permease protein YheH	no
NKFIDM_03695	4215038	4216540	Drug resistance MFS transporter, drug:H+ antiporter-2 family protein	no
NKFIDM_03769	4296363	4297877	Protein-glutamate methylesterase/protein-glutamine glutaminase	no
NKFIDM_03804	4331964	4332926	ABC transporter domain-containing protein	YES (1 IS)
NKFIDM_03805	4332923	4333900	ABC transporter domain-containing protein	YES (1 IS)
NKFIDM_03807	4335280	4336884	ABC transporter substrate-binding protein	YES (1 IS)
NKFIDM_03808	4336936	4337832	ABC transporter permease subunit	no
NKFIDM_03870	4402617	4404011	MFS transporter	no
NKFIDM_03876	4411995	4413068	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase	no
NKFIDM_03885	4424670	4426181	DHA2 family efflux MFS transporter permease subunit	no
NKFIDM_03886	4426174	4426623	MarR family protein	no
NKFIDM_03898	4440698	4442080	MFS transporter	no
NKFIDM_03929	4473202	4473972	ABC transporter family protein	no
NKFIDM_03937	4479796	4480788	ABC transporter substrate-binding protein	no
NKFIDM_03941	4483784	4484692	Alpha-L-glutamate ligase, RimK family protein	no
NKFIDM_03995	4538275	4538649	chorismate mutase	no
NKFIDM_03997	4539745	4540914	chorismate synthase	no
NKFIDM_03999	4542522	4543349	protein-glutamate O-methyltransferase	no
NKFIDM_04002	4544894	4545763	Chorismate dehydratase	no
NKFIDM_04010	4550630	4552030	MFS transporter	no
NKFIDM_04058	4597652	4597750	MerR family transcriptional regulator	no
NKFIDM_04062	4603716	4604948	Sodium:proton antiporter	no
NKFIDM_04071	4612787	4613674	ABC transporter permease subunit	no
NKFIDM_04072	4613720	4614538	ABC transporter permease subunit	no
NKFIDM_04077	4620108	4620950	ABC transporter permease subunit	no
NKFIDM_04147	4684855	4685616	ABC transporter family protein	no
NKFIDM_04148	4685707	4686732	ABC transporter substrate-binding protein	no
NKFIDM_04155	4698090	4698917	ABC transporter permease subunit	no
NKFIDM_04158	4701471	4702226	pyruvate formate-lyase-activating protein	no
NKFIDM_04159	4702302	4704563	formate C-acetyltransferase	no
NKFIDM_04162	4708881	4709690	Formate/nitrite transporter family protein	no
NKFIDM_04258	4818199	4819491	3-phosphoshikimate 1-carboxyvinyltransferase	no
NKFIDM_04259	4819520	4820032	Shikimate kinase	no
NKFIDM_04263	4823366	4824628	MFS transporter	no
NKFIDM_04294	4846687	4847577	ABC transporter domain-containing protein	no
NKFIDM_04296	4850478	4851566	Efflux RND transporter periplasmic adaptor subunit	no
NKFIDM_04297	4851529	4852377	ABC transporter family protein	no
NKFIDM_04321	4880180	4880992	MerR family transcriptional regulator	YES (1 IS)
NKFIDM_04330	4889912	4890817	UDP-N-acetylmuramate dehydrogenase	no
NKFIDM_04333	4893320	4894744	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	no
NKFIDM_04336	4897136	4898626	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	no
NKFIDM_04349	4916135	4917076	Oligopeptide ABC transporter, ATP-binding protein OppF	no
NKFIDM_04351	4918080	4919036	ABC transporter permease subunit	no
NKFIDM_04352	4919039	4919971	ABC transporter permease subunit	no
NKFIDM_04452	5031013	5032479	DHA2 family efflux MFS transporter permease subunit	no
NKFIDM_04453	5032668	5033153	MarR family protein	no
NKFIDM_04480	5063961	5064899	ABC transporter permease subunit	no
NKFIDM_04481	5064921	5065880	ABC transporter permease subunit	no
NKFIDM_04493	5078682	5079572	ABC transporter permease subunit	YES (1 IS)
NKFIDM_04523	5109126	5109752	ABC transporter family protein	no
NKFIDM_04524	5110000	5110677	ABC transporter family protein	YES (2 IS)
NKFIDM_04526	5113562	5114521	ABC transporter transmembrane region family protein	YES (2 IS)
NKFIDM_04541	5128937	5129830	ABC transporter permease subunit	YES (1 IS)
NKFIDM_04549	5134450	5135340	shikimate dehydrogenase	no
NKFIDM_04577	5174493	5175407	ABC transporter permease subunit	no
NKFIDM_04578	5175454	5176332	ABC transporter permease subunit	no
NKFIDM_04582	5181590	5182423	ABC transporter permease subunit	no
NKFIDM_04664	5273130	5274005	ABC transporter permease subunit	no
NKFIDM_04665	5274039	5274941	Polysaccharide ABC transporter ATP-binding protein	YES (1 IS)
